date,Clear_sky_days,Clear_sky_nights,Day_view_angl,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angl,Night_view_time,QC_Day,QC_Night
2001-01-01,4.6333885343720285,2.5541505572457095,1.295187677908729,2.183936276600284,4.934365036838753,4.953027824495528,297.23904844237325,286.7817094412772,1.287228473938259,4.49561576770092,0.08079940389445903,0.0853588622601722
2001-01-09,4.2887393088811745,4.409869139509423,1.78459255088459,2.230223501381963,4.933464767250443,4.955494644161252,296.37327650792554,284.9761306371954,1.3715762339113722,4.499023989151535,0.10029104460689839,0.11232525128017311
2001-01-17,4.271805239378289,2.594289981854297,1.1643398457392296,2.170965990080359,4.9336369437331955,4.953505254213653,298.76198211375026,287.1512891370609,1.28991928249032,4.49953891656091,0.07048171455228618,0.19050398262524673
2001-01-25,3.8377877599857837,2.268332052857221,1.6043475707709831,2.217914484673608,4.933177831992391,4.950295644714337,296.7372858613843,285.53292996976785,1.304277863724034,4.49693714353455,0.19577665830494917,0.15658041824949367
2001-02-02,4.777829749743208,2.4824073656380485,1.2401281328564675,2.1788460952838347,4.934056409141172,4.953829340610346,299.4948781610437,288.1309343891769,1.4251854547483902,4.50789821439796,0.08865946338133805,0.10983577553835856
2001-02-10,4.415222880541542,4.393083892147001,1.4273109933472996,2.203373564996012,4.9330944363786955,4.952262514281278,301.0037694250225,288.6513276282675,1.1593063246494126,4.479343803019682,0.06257074287142438,0.16949803050194698
2001-02-18,2.146354339783701,1.897286589264883,1.3522822199763256,2.1923309728360105,4.934467877868724,4.950204403520277,301.78725144124456,291.8169192491117,1.5300224275725007,4.513258206585035,0.056416276236777925,0.20210746251836414
2001-02-26,3.025631999739478,3.0802558569899,1.4078693224940952,2.1947253610044806,4.934728325405622,4.949156870346219,302.8366865006552,292.030188518548,1.0232509079781844,4.46081283171049,0.09078640445167567,0.11081973441834235
2001-03-06,4.805654131718987,2.8953302220009496,1.2451892449964828,2.1792924676377083,4.933174007633376,4.951890245567607,304.5126617308171,290.3171301358357,1.415502215472606,4.505179676839364,0.06410271208775326,0.13385698689129522
2001-03-14,4.509141636689069,4.727409156896172,1.42368627209332,2.1999774329093267,4.934331887808748,4.952918288570331,305.8762592808753,293.75534640852544,1.1744877068472506,4.479064888179782,0.044677751920888346,0.05138122514938343
2001-03-22,3.2125559598675584,1.9603577213265457,0.8808559030131757,2.146034477039556,4.934872724397207,4.95495490069724,305.5840657138935,295.7017024389939,1.5002802076723711,4.504197299235485,0.2933724141105626,0.06526263065572954
2001-03-30,4.049724892739863,2.951620404105457,1.5611688568530089,2.210158656665075,4.934541710247815,4.9488816005585115,306.8447449371342,296.3547541328989,0.8077412167872317,4.437102767837777,0.3265071830166145,0.04821456913236822
2001-04-07,0.10172803028795245,0.15163348751188155,1.3109074114564112,2.190460259314096,4.936382175815641,4.946141402301913,308.9776890104377,296.41546742337357,2.326302142098714,4.602555430980659,0.08749676216308835,0.1743208924818031
2001-04-15,3.7474535360962133,4.516531974517738,1.6338012568753466,2.2128264223026486,4.93403857933334,4.952317200882305,308.0796405038677,296.4099504740466,1.3427076085857763,4.488201897584138,0.3620952188571656,0.052966099074711726
2001-04-23,1.9601677459329132,0.6418038674242479,1.149298088475239,2.16866172341223,4.934073111510086,4.95170242120363,308.3558411563435,296.9961604453538,1.457923648352774,4.514014745507354,0.10596438757301166,0.06393218028549667
2001-05-01,0.021104777579875528,0.6571694721359895,2.2497200169960045,2.271725044815878,4.935072369533874,4.959242438957727,301.489755064028,294.1918267876907,1.2740558752011193,4.485652390110737,0.27730748010745526,0.18706637891998887
2001-05-09,2.8233048728986745,1.8312489526312137,0.91537261488131,2.141793881087615,4.932990249992972,4.953598549938877,300.7647546076295,296.60442239689297,1.2620878083660092,4.477615615241102,0.6051698069392232,0.1314880239541303
2001-05-17,0.07061353242545594,0.39265546661665673,1.2832643291814732,2.1797870490335423,4.934780764899933,4.956459189087912,302.1526023418494,297.34348515550096,1.094229554650478,4.4762431653828605,0.551448194266239,0.11205148658794802
2001-05-25,0.949746893419442,0.04292197738477385,0.6663330120042823,2.124997386203971,4.936677747374612,4.9459046212553,300.6458990499219,293.9138858444334,1.9097428566305528,4.561422123843341,0.41742692107654417,0.5397677002324688
2001-06-02,0.9548141957052854,2.56,2.293400411469718,2.2765237238009544,4.939044560645684,4.952839036035013,292.6351562299084,297.20875,1.165,4.48,0.06736050161907868,0.04994347441026568
2001-06-10,0.05921868005565279,,1.1478724820035098,2.1577886395257386,4.936587986207761,4.953759603169826,297.3704898675218,,,,0.08981631759862826,0.04817741903346564
2001-06-26,,,,,,,,,,,,
2001-07-04,0.19049909389840805,,1.8209281060182172,2.2186648490885053,4.93346621996262,4.952179468891518,301.4880914064854,,,,0.37764151494355913,0.04817741903346564
2001-07-12,0.4381300206003422,,1.1067138350643597,2.146265787406036,4.922458828634078,4.942643958080092,299.521456252614,,,,0.16471400882337747,0.04817741903346564
2001-07-20,0.14731707317073178,2.56,1.849268292682926,2.2153658536585406,4.933176470588235,4.963058823529405,299.23,297.44,1.26,4.48,0.05722845283956641,0.04850855441661578
2001-07-28,1.2913487464926707,1.28,2.15110123867963,2.266838743527132,4.936766849204704,4.94480345162747,296.62201861441224,297.95800393489543,1.4497064159235453,4.488551498581914,0.12416207529367354,0.06365418321655844
2001-08-05,0.3201495269918241,0.64,1.4512483687312652,2.1826886176879805,4.942405719658902,4.963617372356435,300.5109373640611,298.52412778515287,1.7217932148627033,4.513459908187902,0.14031951695936967,0.10172648677688942
